Category,Items,Quantity,Restaurant,Route,Date,Destination Address,,,,,,,,,,,,,,,,, 
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D002,Route 2,2/17/2022,80 Pine St.,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,1,R001,Route V,2/17/2022,286 Madison Ave,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,3,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,1,D008,Route 1,2/17/2022,225 Liberty St.,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,1,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,3,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,6,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,3,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,4,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,4,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,2,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,2,D009,Route 2,2/17/2022,80 Broad St.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,2,D010,Route 1,2/17/2022,1178 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,6,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,8,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,5,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,4,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,3,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,3,D002,Route 2,2/17/2022,80 Pine St.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,3,R001,Route V,2/17/2022,286 Madison Ave,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,6,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,4,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,2,D034,Route V,2/17/2022,127 4th Ave,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,4,D008,Route 1,2/17/2022,225 Liberty St.,,,,,,,,,,,,,,,,,
SAUCE,Charred Chicken Marinade 1 x 35fl.oz,3,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,3,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,2,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D008,Route 1,2/17/2022,225 Liberty St.,,,,,,,,,,,,,,,,,
SAUCE,Yogurt Dill Dressing 2021 0.5 x 1gal,1,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Roasted Veg Marinade 1 x 1gal,1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Roasted Veg Marinade 1 x 1gal,1,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Roasted Veg Marinade 1 x 1gal,3,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
SAUCE,Roasted Veg Marinade 1 x 1gal,2,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
CHEMICAL,"Parchment Paper, Steak Portion 1 x 1000each",1,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,6,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,2,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,3,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,2,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,4,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,1,D010,Route 1,2/17/2022,1178 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,2,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,4,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,6,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,2,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,2,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,3,D002,Route 2,2/17/2022,80 Pine St.,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,1,R001,Route V,2/17/2022,286 Madison Ave,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,2,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,3,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Seasoned Breadcrumb 1 x 3lb,3,D008,Route 1,2/17/2022,225 Liberty St.,,,,,,,,,,,,,,,,,
DELETE,"Fingerling Potato, Mixed 1 x 75lb",1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
DELETE,"Fingerling Potato, Mixed 1 x 75lb",1,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,6,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,5,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,2,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,3,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,3,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,3,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,2,D010,Route 1,2/17/2022,1178 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,2,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,6,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,2,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,6,D002,Route 2,2/17/2022,80 Pine St.,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,4,R001,Route V,2/17/2022,286 Madison Ave,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,3,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Classic Tomato Ragu 1 x 96oz,2,D034,Route V,2/17/2022,127 4th Ave,,,,,,,,,,,,,,,,,
DELETE,Parsnip 20 x 1lb,1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
DELETE,Parsnip 20 x 1lb,1,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
DELETE,Parsnip 20 x 1lb,1,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
DELETE,Parsnip 20 x 1lb,1,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
DELETE,Parsnip 20 x 1lb,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,Herb Marinade 1 x 1gal,1,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
SAUCE,Herb Marinade 1 x 1gal,1,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
SAUCE,Herb Marinade 1 x 1gal,1,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Herb Marinade 1 x 1gal,1,D010,Route 1,2/17/2022,1178 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Herb Marinade 1 x 1gal,1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Herb Marinade 1 x 1gal,1,D008,Route 1,2/17/2022,225 Liberty St.,,,,,,,,,,,,,,,,,
DELETE,Broccoli 20 x 1lb,4,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,2,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D009,Route 2,2/17/2022,80 Broad St.,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D002,Route 2,2/17/2022,80 Pine St.,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
DELETE,Avocado 1 x 60ct-case,1,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
SAUCE,<GLOBAL> SC Pesto Base 1 x 1gal,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
SAUCE,<GLOBAL> SC Pesto Base 1 x 1gal,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,<GLOBAL> SC Pesto Base 1 x 1gal,1,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
SAUCE,<GLOBAL> SC Pesto Base 1 x 1gal,1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
REPACKED,"Horseradish, Root 1 x 1lb",1,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
REPACKED,"Horseradish, Root 1 x 1lb",1,D008,Route 1,2/17/2022,225 Liberty St.,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,2,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,2,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,2,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,1,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,3,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,1,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,5,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Preserved Orange 1 x 3lb,1,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,0.5,D009,Route 2,2/17/2022,80 Broad St.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D010,Route 1,2/17/2022,1178 Broadway,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D002,Route 2,2/17/2022,80 Pine St.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,R001,Route V,2/17/2022,286 Madison Ave,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,0.5,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D034,Route V,2/17/2022,127 4th Ave,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D008,Route 1,2/17/2022,225 Liberty St.,,,,,,,,,,,,,,,,,
CASES,Bechamel 6 x 100fl.oz,1,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",4,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",2,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",2,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",2,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",2,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D002,Route 2,2/17/2022,80 Pine St.,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,R001,Route V,2/17/2022,286 Madison Ave,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",2,D034,Route V,2/17/2022,127 4th Ave,,,,,,,,,,,,,,,,,
BEEF,"Beef, Top Sirloin, Butchered 1 x 1lb",1,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D010,Route 1,2/17/2022,1178 Broadway,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D015,Route 2,2/17/2022,856 8th Ave.,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
DELETE,Garlic 1 x 5lb,1,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
PROCESSED VEG,Kale Mix 12 x 1lb,1,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
